id|order_number|customer_id|showroom_id|product_id|quantity|discount|amount|delivered|card_type|card_number|txn_date|update_date|create_date
1|311108217-2|505|15|935|1|9666|0|0|jcb|3530283964392513|2018-01-03|2018-01-03 06:29:19|2018-01-03 06:29:19
2|606155274-2|244|2|571|1|6590|0|0|solo|676724297956442473|2018-01-04|2018-01-04 00:54:03|2018-01-04 00:54:03
3|432024884-8|501|3|785|1|10777|0|1|americanexpress|337941520950352|2018-01-24|2018-01-24 00:22:03|2018-01-24 00:22:03
4|732681336-1|516|1|61|1|6842|0|1|jcb|3528765290825509|2018-01-07|2018-01-07 18:59:26|2018-01-07 18:59:26
5|004823448-6|463|4|122|1|9182|0|1|switch|4905785141198766|2018-01-13|2018-01-13 01:35:07|2018-01-13 01:35:07
6|900730522-0|149|5|848|1|12116|0|0|americanexpress|374622354177387|2018-01-20|2018-01-20 08:11:37|2018-01-20 08:11:37
7|297538409-2|115|10|99|1|13325|0|1|mastercard|5100141622757540|2018-01-04|2018-01-04 16:41:08|2018-01-04 16:41:08
8|624782758-X|819|7|380|1|8238|0|0|jcb|3544771606159005|2018-01-30|2018-01-30 13:46:14|2018-01-30 13:46:14
9|963402580-3|105|11|762|1|8923|0|1|mastercard|5394919829721533|2018-01-15|2018-01-15 04:33:22|2018-01-15 04:33:22
10|730594565-X|76|10|571|1|11662|0|0|jcb|3533013372923345|2018-01-02|2018-01-02 16:33:10|2018-01-02 16:33:10
11|185328395-9|199|11|40|1|12104|0|1|maestro|67591466001036810|2018-01-09|2018-01-09 04:38:04|2018-01-09 04:38:04
12|782713034-8|553|7|361|1|8438|0|1|jcb|3571154042564060|2018-01-27|2018-01-27 07:38:38|2018-01-27 07:38:38
13|227226022-5|176|7|193|1|7302|0|1|bankcard|5602234141757803|2018-01-25|2018-01-25 19:44:44|2018-01-25 19:44:44
14|710863500-3|396|5|885|1|5110|0|0|maestro|6762728722076466035|2018-01-10|2018-01-10 11:53:31|2018-01-10 11:53:31
15|181925942-0|488|15|503|1|8229|0|0|jcb|3535434537695099|2018-01-19|2018-01-19 17:36:59|2018-01-19 17:36:59
16|500524555-3|205|4|752|1|10309|0|1|diners-club-enroute|201954157160974|2018-01-09|2018-01-09 08:16:30|2018-01-09 08:16:30
17|514425676-7|329|3|921|1|7986|0|0|jcb|3547881337711128|2018-01-15|2018-01-15 01:41:50|2018-01-15 01:41:50
18|216930665-X|64|3|987|1|7751|0|1|jcb|3561836320959952|2018-01-14|2018-01-14 02:19:30|2018-01-14 02:19:30
19|273251540-X|429|9|861|1|6647|0|1|jcb|3551680681557829|2018-01-23|2018-01-23 11:08:36|2018-01-23 11:08:36
20|343393494-0|862|13|929|1|13160|0|0|jcb|3579745410910561|2018-01-10|2018-01-10 09:19:58|2018-01-10 09:19:58
21|427620882-3|915|6|646|1|14965|0|0|bankcard|5610862462665187|2018-01-13|2018-01-13 23:45:41|2018-01-13 23:45:41
22|335490499-2|563|5|742|1|11284|0|1|laser|67712306775370496|2018-01-23|2018-01-23 16:06:27|2018-01-23 16:06:27
23|205217759-0|847|15|250|1|7483|0|1|jcb|3561800084701208|2018-01-28|2018-01-28 15:03:35|2018-01-28 15:03:35
24|911943946-6|538|1|933|1|11083|0|0|bankcard|5602257940025403|2018-01-27|2018-01-27 10:39:24|2018-01-27 10:39:24
25|134846513-1|886|10|918|1|14277|0|1|visa-electron|4175005340955319|2018-01-20|2018-01-20 13:32:10|2018-01-20 13:32:10
26|202241719-4|138|8|750|1|15811|0|0|jcb|3563352134460532|2018-01-09|2018-01-09 05:35:39|2018-01-09 05:35:39
27|475586520-4|708|4|428|1|12022|0|0|diners-club-carte-blanche|30169221953463|2018-01-15|2018-01-15 12:50:41|2018-01-15 12:50:41
28|938935949-X|39|14|112|1|9552|0|0|jcb|3577983037308677|2018-01-28|2018-01-28 20:08:11|2018-01-28 20:08:11
29|295933022-6|904|12|711|1|12692|0|0|bankcard|5602245513199416|2018-01-15|2018-01-15 04:29:38|2018-01-15 04:29:38
30|815783990-4|761|7|656|1|9944|0|1|china-unionpay|560225687670426499|2018-01-16|2018-01-16 06:54:38|2018-01-16 06:54:38
31|016833315-5|344|5|332|1|10345|0|1|mastercard|5048373507427288|2018-01-19|2018-01-19 13:28:47|2018-01-19 13:28:47
32|520556568-3|205|14|398|1|11693|0|0|bankcard|5602239626452499|2018-01-29|2018-01-29 12:10:33|2018-01-29 12:10:33
33|994537487-7|388|13|154|1|7674|0|1|maestro|5018610999003218|2018-01-09|2018-01-09 04:52:36|2018-01-09 04:52:36
34|604276915-4|84|2|971|1|11604|0|1|jcb|3569996938555568|2018-01-24|2018-01-24 20:49:44|2018-01-24 20:49:44
35|389372185-1|407|2|553|1|9081|0|1|jcb|3528773816204720|2018-01-05|2018-01-05 04:54:33|2018-01-05 04:54:33
36|787714976-X|884|4|289|1|8423|0|0|maestro|5018280899825886|2018-01-23|2018-01-23 16:56:32|2018-01-23 16:56:32
37|848676244-8|381|8|566|1|9565|0|1|jcb|3553696274076900|2018-01-16|2018-01-16 23:37:15|2018-01-16 23:37:15
38|161185995-6|104|13|907|1|11215|0|1|jcb|3583635900710973|2018-01-17|2018-01-17 12:52:25|2018-01-17 12:52:25
39|184440515-X|992|9|271|1|13420|0|0|visa-electron|4026571405885304|2018-01-30|2018-01-30 10:57:27|2018-01-30 10:57:27
40|234424236-8|220|9|160|1|13398|0|0|jcb|3586994129169603|2018-01-18|2018-01-18 13:07:00|2018-01-18 13:07:00
41|203819798-9|64|2|869|1|10232|0|1|switch|6759324399099188732|2018-01-09|2018-01-09 12:39:53|2018-01-09 12:39:53
42|796926073-X|423|8|998|1|11587|0|0|visa|4820739535982881|2018-01-16|2018-01-16 03:44:52|2018-01-16 03:44:52
43|694350492-4|392|10|228|1|12559|0|0|diners-club-carte-blanche|30400354665040|2018-01-12|2018-01-12 07:45:38|2018-01-12 07:45:38
44|171076874-6|941|13|71|1|9347|0|1|jcb|3558117432210963|2018-01-26|2018-01-26 20:14:20|2018-01-26 20:14:20
45|743084282-8|501|6|643|1|9437|0|0|visa-electron|4026626327796094|2018-01-13|2018-01-13 16:58:30|2018-01-13 16:58:30
46|457215352-3|917|3|174|1|9721|0|0|switch|6333884813636291649|2018-01-04|2018-01-04 12:11:10|2018-01-04 12:11:10
